studyGoldId	biosampleGoldId	ncbiBioProjectAccession	ncbiBioSampleAccession	ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale.id	envoBroadScale.label	envoLocalScale.id	envoLocalScale.label	envoMedium.id	envoMedium.label	bad_ebs	bad_em	cosine_distance_broad_scale	cosine_distance_local_scale	cosine_distance_medium
Gs0154244	Gb0239972	PRJEB42019	SAMEA7724241	PRJEB42019	SAMEA7724241	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239973	PRJEB42019	SAMEA7724242	PRJEB42019	SAMEA7724242	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239974	PRJEB42019	SAMEA7724243	PRJEB42019	SAMEA7724243	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239975	PRJEB42019	SAMEA7724244	PRJEB42019	SAMEA7724244	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239976	PRJEB42019	SAMEA7724245	PRJEB42019	SAMEA7724245	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239977	PRJEB42019	SAMEA7724246	PRJEB42019	SAMEA7724246	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239978	PRJEB42019	SAMEA7724247	PRJEB42019	SAMEA7724247	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239979	PRJEB42019	SAMEA7724248	PRJEB42019	SAMEA7724248	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239980	PRJEB42019	SAMEA7724249	PRJEB42019	SAMEA7724249	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239981	PRJEB42019	SAMEA7724407	PRJEB42019	SAMEA7724407	marine salt marsh biome	saline marsh	soil	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil	False	False	0.0	0.0	0.0
