biosampleGoldId	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale.id	envoBroadScale.label	envoLocalScale.id	envoLocalScale.label	envoMedium.id	envoMedium.label
Gb0239996	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0239997	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0239998	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0239999	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240000	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240001	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240002	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240003	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240004	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240005	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240006	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240007	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240008	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240009	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240010	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240011	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240012	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240013	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240014	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000179	desert biome	ENVO:01000185	montane desert biome	ENVO:00005741	alpine soil
Gb0240015	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000249	urban biome	ENVO:00000120	oil palm plantation	ENVO:02000059	surface soil
Gb0240016	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000249	urban biome	ENVO:00000120	oil palm plantation	ENVO:02000059	surface soil
Gb0240017	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000249	urban biome	ENVO:00000120	oil palm plantation	ENVO:02000059	surface soil
Gb0240018	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000249	urban biome	ENVO:00000120	oil palm plantation	ENVO:02000059	surface soil
Gb0240019	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000249	urban biome	ENVO:00000120	oil palm plantation	ENVO:02000059	surface soil
Gb0240020	4213	Environmental	Terrestrial	Soil	Unclassified	Agricultural land	ENVO:01000249	urban biome	ENVO:00000120	oil palm plantation	ENVO:02000059	surface soil
Gb0240021	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240022	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240023	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240024	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240025	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240026	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240027	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240028	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240029	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240030	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240031	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240032	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
Gb0240033	6026	Environmental	Terrestrial	Soil	Boreal forest/Taiga	Bulk soil	ENVO:01000250	subpolar coniferous forest biome	ENVO:01000174	forest biome	ENVO:00001998	soil
