class	slot	annotation_Preferred_unit	prefunit_count	exploded_prefunit	exploded_count	annotation_times_explosion_count	ucum	notes	slots	example
FoodFoodProductionFacility	food_pack_capacity	grams	3	grams	1	3	g			
FoodFoodProductionFacility	pool_dna_extracts	gram, milliliter, microliter	5	gram	10	50	g			
FoodFoodProductionFacility	pool_dna_extracts	gram, milliliter, microliter	5	milliliter	4	20	mL			
FoodFoodProductionFacility	pool_dna_extracts	gram, milliliter, microliter	5	microliter	1	5	uL			
FoodFoodProductionFacility	room_dim	meter	72	meter	3	216	m			
FoodFoodProductionFacility	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodFoodProductionFacility	samp_transport_dur	days	5	days	4	20	d			
FoodFoodProductionFacility	samp_transport_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodFoodProductionFacility	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
FoodFoodProductionFacility	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
FoodFoodProductionFacility	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
FoodFoodProductionFacility	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
FoodFoodProductionFacility	study_inc_dur	hours or days	9	hours	2	18	h			
FoodFoodProductionFacility	study_inc_dur	hours or days	9	days	4	36	d			
FoodFoodProductionFacility	study_inc_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodFoodProductionFacility	study_timecourse	dpi	3	dpi	1	3	d{post_infection}		study_timecourse	2 days post inoculation
FoodFoodProductionFacility	timepoint	hours or days	9	hours	2	18	h			
FoodFoodProductionFacility	timepoint	hours or days	9	days	4	36	d			
FoodHumanFoods	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7	[CFU]/mL			
FoodHumanFoods	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7	[CFU]/g{dry_weight}			
FoodHumanFoods	cons_food_stor_dur	hours or days	9	hours	2	18	h			
FoodHumanFoods	cons_food_stor_dur	hours or days	9	days	4	36	d			
FoodHumanFoods	cons_food_stor_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodHumanFoods	ferm_chem_add_perc	percentage	13	percentage	2	26	%			
FoodHumanFoods	ferm_headspace_oxy	percentage	13	percentage	2	26	%			
FoodHumanFoods	ferm_rel_humidity	percentage	13	percentage	2	26	%			
FoodHumanFoods	ferm_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodHumanFoods	ferm_time	days	5	days	4	20	d			
FoodHumanFoods	food_pack_capacity	grams	3	grams	1	3	g			
FoodHumanFoods	microb_start_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7	[CFU]/mL			
FoodHumanFoods	microb_start_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7	[CFU]/g{dry_weight}			
FoodHumanFoods	microb_start_inoc	milligram or gram	1	milligram	3	3	mg			
FoodHumanFoods	microb_start_inoc	milligram or gram	1	gram	10	10	g			
FoodHumanFoods	pool_dna_extracts	gram, milliliter, microliter	5	gram	10	50	g			
FoodHumanFoods	pool_dna_extracts	gram, milliliter, microliter	5	milliliter	4	20	mL			
FoodHumanFoods	pool_dna_extracts	gram, milliliter, microliter	5	microliter	1	5	uL			
FoodHumanFoods	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodHumanFoods	samp_transport_dur	days	5	days	4	20	d			
FoodHumanFoods	samp_transport_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodHumanFoods	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
FoodHumanFoods	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
FoodHumanFoods	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
FoodHumanFoods	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
FoodHumanFoods	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7	[CFU]/mL			
FoodHumanFoods	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7	[CFU]/g{dry_weight}			
FoodHumanFoods	study_inc_dur	hours or days	9	hours	2	18	h			
FoodHumanFoods	study_inc_dur	hours or days	9	days	4	36	d			
FoodHumanFoods	study_inc_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodHumanFoods	study_timecourse	dpi	3	dpi	1	3	d{post_infection}		study_timecourse	2 days post inoculation
FoodHumanFoods	temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodHumanFoods	timepoint	hours or days	9	hours	2	18	h			
FoodHumanFoods	timepoint	hours or days	9	days	4	36	d			
HostAssociated	alt	meter	72	meter	3	216	m			
HostAssociated	blood_press_diast	millimeter mercury	2	millimeter mercury	1	2	mm[Hg]			
HostAssociated	blood_press_syst	millimeter mercury	2	millimeter mercury	1	2	mm[Hg]			
HostAssociated	depth	meter	72	meter	3	216	m			
HostAssociated	elev	meter	72	meter	3	216	m			
HostAssociated	host_age	year, day, hour	11	year	2	22	a	!		
