ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium
PRJEB42019	SAMEA7724337	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724338	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724339	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724340	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724341	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724342	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724343	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724344	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724345	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724346	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724347	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724348	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724349	subpolar coniferous forest biome	stratum	peat soil
PRJEB42019	SAMEA7724350	marine pelagic biome	coastal water body	coastal water
PRJEB42019	SAMEA7724351	marine pelagic biome	coastal water body	coastal water
PRJEB42019	SAMEA7724352	marine coral reef biome	marine benthic feature	organic material
PRJEB42019	SAMEA7724353	marine coral reef biome	marine benthic feature	organic material
PRJEB42019	SAMEA7724354	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724355	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724356	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724357	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724358	urban biome	research facility	sterile water
PRJEB42019	SAMEA7724359	urban biome	research facility	sterile water
