bioproject_accession	biosample_accession	env_broad_scale	env_local_scale	env_medium
PRJNA352737	SAMN11874667	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874668	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874669	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874670	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874671	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874672	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874673	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874674	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874675	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874676	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874677	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874678	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874679	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874680	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874681	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874682	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874683	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874684	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874685	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874686	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874687	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874688	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874689	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874690	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874691	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874692	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874693	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874694	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874695	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874696	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874697	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874698	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874699	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874700	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874701	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874702	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874703	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874704	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874705	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874706	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874707	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874708	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874709	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874710	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874711	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874712	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874713	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874714	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874715	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874716	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874717	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874718	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874719	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874720	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874721	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874722	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874723	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874724	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874725	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874726	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874727	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874728	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874729	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874730	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874731	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874732	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874733	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874734	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874735	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874736	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874737	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874738	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874739	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874740	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874741	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874742	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874743	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874744	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874745	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874746	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874747	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874748	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874749	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874750	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874751	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874752	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874753	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874754	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874755	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874756	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874757	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874758	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874759	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874760	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874761	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874762	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874763	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874764	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874765	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874766	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874767	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874768	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874769	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874770	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874771	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874772	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874773	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874774	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874775	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874776	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874777	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874778	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874779	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874780	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874781	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874782	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874783	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874784	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874785	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874786	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874787	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874788	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874789	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874790	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874791	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874792	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874793	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874794	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874795	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874796	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874797	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874798	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874799	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874800	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874801	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874802	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874803	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874804	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874805	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874806	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874807	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874808	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874809	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874810	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874811	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874812	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874813	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874814	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874815	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874816	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874817	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874818	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874819	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874820	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874821	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874822	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874823	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874824	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874825	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874826	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874827	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874828	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874829	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874830	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874831	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874832	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874833	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874834	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874835	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874836	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874837	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874838	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874839	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874840	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874841	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874842	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874843	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874844	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874845	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874846	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874847	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874848	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874849	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874850	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874851	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874852	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874853	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874854	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874855	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874856	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874857	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874858	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874859	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874860	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874861	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874862	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874863	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874864	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874865	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874866	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874867	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874868	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874869	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874870	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874871	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874872	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874874	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA352737	SAMN11874875	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874876	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874877	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA352737	SAMN11874878	ENVO:00000447	ENVO:00000209|ENVO:01000036	ENVO:00002151
PRJNA545144	SAMN11974023	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974024	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974025	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974026	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974027	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974028	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974029	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974030	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974031	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974032	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974033	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974034	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974035	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974036	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974037	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974038	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974039	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974040	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974041	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974042	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974043	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974044	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974045	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974046	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974047	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974048	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974049	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974050	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974051	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974052	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974053	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974054	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974055	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974056	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974057	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974058	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974059	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974060	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974061	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974062	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974063	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974064	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974065	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974066	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974067	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974068	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974069	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974070	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974071	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974072	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974073	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974074	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974075	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974076	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974077	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974078	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
PRJNA545144	SAMN11974079	ENVO:00000447	ENVO:00000209|ENVO:00000569	ENVO:00002151
