accession	db	is_primary	content
SAMEA7723621	BioSample	1	SAMEA7723621
SAMEA7723621	SRA		ERS5470999
SAMEA7723622	BioSample	1	SAMEA7723622
SAMEA7723622	SRA		ERS5471000
SAMEA7723623	BioSample	1	SAMEA7723623
SAMEA7723623	SRA		ERS5471001
SAMEA7723624	BioSample	1	SAMEA7723624
SAMEA7723624	SRA		ERS5471002
SAMEA7723625	BioSample	1	SAMEA7723625
SAMEA7723625	SRA		ERS5471003
SAMEA7723626	BioSample	1	SAMEA7723626
SAMEA7723626	SRA		ERS5471004
SAMEA7723627	BioSample	1	SAMEA7723627
SAMEA7723627	SRA		ERS5471005
SAMEA7723628	BioSample	1	SAMEA7723628
SAMEA7723628	SRA		ERS5471006
SAMEA7723629	BioSample	1	SAMEA7723629
SAMEA7723629	SRA		ERS5471007
SAMEA7723630	BioSample	1	SAMEA7723630
SAMEA7723630	SRA		ERS5471008
SAMEA7723631	BioSample	1	SAMEA7723631
SAMEA7723631	SRA		ERS5471009
SAMEA7723632	BioSample	1	SAMEA7723632
SAMEA7723632	SRA		ERS5471010
SAMEA7723633	BioSample	1	SAMEA7723633
SAMEA7723633	SRA		ERS5471011
SAMEA7723634	BioSample	1	SAMEA7723634
SAMEA7723634	SRA		ERS5471012
SAMEA7723635	BioSample	1	SAMEA7723635
SAMEA7723635	SRA		ERS5471013
SAMEA7723636	BioSample	1	SAMEA7723636
SAMEA7723636	SRA		ERS5471014
SAMEA7723637	BioSample	1	SAMEA7723637
SAMEA7723637	SRA		ERS5471015
SAMEA7723638	BioSample	1	SAMEA7723638
SAMEA7723638	SRA		ERS5471016
SAMEA7723639	BioSample	1	SAMEA7723639
SAMEA7723639	SRA		ERS5471017
SAMEA7723640	BioSample	1	SAMEA7723640
SAMEA7723640	SRA		ERS5471018
SAMEA7723641	BioSample	1	SAMEA7723641
SAMEA7723641	SRA		ERS5471019
SAMEA7723642	BioSample	1	SAMEA7723642
SAMEA7723642	SRA		ERS5471020
SAMEA7723643	BioSample	1	SAMEA7723643
SAMEA7723643	SRA		ERS5471021
SAMEA7723644	BioSample	1	SAMEA7723644
SAMEA7723644	SRA		ERS5471022
SAMEA7723645	BioSample	1	SAMEA7723645
SAMEA7723645	SRA		ERS5471023
SAMEA7723646	BioSample	1	SAMEA7723646
SAMEA7723646	SRA		ERS5471024
SAMEA7723647	BioSample	1	SAMEA7723647
SAMEA7723647	SRA		ERS5471025
SAMEA7723648	BioSample	1	SAMEA7723648
SAMEA7723648	SRA		ERS5471026
SAMEA7723649	BioSample	1	SAMEA7723649
SAMEA7723649	SRA		ERS5471027
SAMEA7723650	BioSample	1	SAMEA7723650
SAMEA7723650	SRA		ERS5471028
SAMEA7723651	BioSample	1	SAMEA7723651
SAMEA7723651	SRA		ERS5471029
SAMEA7723652	BioSample	1	SAMEA7723652
SAMEA7723652	SRA		ERS5471030
SAMEA7723653	BioSample	1	SAMEA7723653
SAMEA7723653	SRA		ERS5471031
SAMEA7723654	BioSample	1	SAMEA7723654
SAMEA7723654	SRA		ERS5471032
SAMEA7723655	BioSample	1	SAMEA7723655
SAMEA7723655	SRA		ERS5471033
SAMEA7723656	BioSample	1	SAMEA7723656
SAMEA7723656	SRA		ERS5471034
SAMEA7723657	BioSample	1	SAMEA7723657
SAMEA7723657	SRA		ERS5471035
SAMEA7723658	BioSample	1	SAMEA7723658
SAMEA7723658	SRA		ERS5471036
SAMEA7723659	BioSample	1	SAMEA7723659
SAMEA7723659	SRA		ERS5471037
SAMEA7723660	BioSample	1	SAMEA7723660
SAMEA7723660	SRA		ERS5471038
SAMEA7723661	BioSample	1	SAMEA7723661
SAMEA7723661	SRA		ERS5471039
SAMEA7723662	BioSample	1	SAMEA7723662
SAMEA7723662	SRA		ERS5471040
SAMEA7723663	BioSample	1	SAMEA7723663
SAMEA7723663	SRA		ERS5471041
SAMEA7723664	BioSample	1	SAMEA7723664
SAMEA7723664	SRA		ERS5471042
SAMEA7723665	BioSample	1	SAMEA7723665
SAMEA7723665	SRA		ERS5471043
SAMEA7723666	BioSample	1	SAMEA7723666
SAMEA7723666	SRA		ERS5471044
SAMEA7723667	BioSample	1	SAMEA7723667
SAMEA7723667	SRA		ERS5471045
SAMEA7723668	BioSample	1	SAMEA7723668
SAMEA7723668	SRA		ERS5471046
SAMEA7723669	BioSample	1	SAMEA7723669
SAMEA7723669	SRA		ERS5471047
SAMEA7723670	BioSample	1	SAMEA7723670
SAMEA7723670	SRA		ERS5471048
SAMEA7723671	BioSample	1	SAMEA7723671
SAMEA7723671	SRA		ERS5471049
SAMEA7723672	BioSample	1	SAMEA7723672
SAMEA7723672	SRA		ERS5471050
SAMEA7723673	BioSample	1	SAMEA7723673
SAMEA7723673	SRA		ERS5471051
SAMEA7723674	BioSample	1	SAMEA7723674
SAMEA7723674	SRA		ERS5471052
SAMEA7723675	BioSample	1	SAMEA7723675
SAMEA7723675	SRA		ERS5471053
SAMEA7723676	BioSample	1	SAMEA7723676
SAMEA7723676	SRA		ERS5471054
SAMEA7723677	BioSample	1	SAMEA7723677
SAMEA7723677	SRA		ERS5471055
SAMEA7723678	BioSample	1	SAMEA7723678
SAMEA7723678	SRA		ERS5471056
SAMEA7723679	BioSample	1	SAMEA7723679
SAMEA7723679	SRA		ERS5471057
SAMEA7723680	BioSample	1	SAMEA7723680
SAMEA7723680	SRA		ERS5471058
SAMEA7723681	BioSample	1	SAMEA7723681
SAMEA7723681	SRA		ERS5471059
SAMEA7723682	BioSample	1	SAMEA7723682
SAMEA7723682	SRA		ERS5471060
SAMEA7723683	BioSample	1	SAMEA7723683
SAMEA7723683	SRA		ERS5471061
SAMEA7723684	BioSample	1	SAMEA7723684
SAMEA7723684	SRA		ERS5471062
SAMEA7723685	BioSample	1	SAMEA7723685
SAMEA7723685	SRA		ERS5471063
SAMEA7723686	BioSample	1	SAMEA7723686
SAMEA7723686	SRA		ERS5471064
SAMEA7723687	BioSample	1	SAMEA7723687
SAMEA7723687	SRA		ERS5471065
SAMEA7723688	BioSample	1	SAMEA7723688
SAMEA7723688	SRA		ERS5471066
SAMEA7723689	BioSample	1	SAMEA7723689
SAMEA7723689	SRA		ERS5471067
SAMEA7723690	BioSample	1	SAMEA7723690
SAMEA7723690	SRA		ERS5471068
SAMEA7723691	BioSample	1	SAMEA7723691
SAMEA7723691	SRA		ERS5471069
SAMEA7723692	BioSample	1	SAMEA7723692
SAMEA7723692	SRA		ERS5471070
SAMEA7723693	BioSample	1	SAMEA7723693
SAMEA7723693	SRA		ERS5471071
SAMEA7723694	BioSample	1	SAMEA7723694
SAMEA7723694	SRA		ERS5471072
SAMEA7723695	BioSample	1	SAMEA7723695
SAMEA7723695	SRA		ERS5471073
SAMEA7723696	BioSample	1	SAMEA7723696
SAMEA7723696	SRA		ERS5471074
SAMEA7723697	BioSample	1	SAMEA7723697
